abide	abided/*abode	abided/*abidden
abuy	abought	abought
aby	abought	abought
abye	abought	abought
acknow	acknew	acknown
am	was	been
are	were	been
arise	arose	arisen
awake	awoke/awaked	awoken/awaked
babysit	babysat	babysat
backlight	backlit/backlighted	backlit/backlighted
backslide	backslid	backslid/backslidden
be	was, were	been
bear	bore	born/borne
beat	beat	beaten/beat
become	became	become
befall	befell	befallen
beget	begot/*begat	begotten/begot
begin	began	begun
bego	bewent	begone
behold	beheld	beheld
belay	belaid	belaid
belead	beled	beled
beleap	beleaped/beleapt	beleaped/beleapt
beleave	beleft	beleft
bend	bent/bended	bent/bended
bequeath	bequeathed/bequoth	bequeathed/bequethen
bereave	bereaved/*bereft	bereaved/bereft
besee	besaw	beseen
beseech	beseeched/*besought	beseeched/*besought
beseek	besought	besought
beset	beset	beset
beshine	beshone	beshone
bespeak	bespoke	bespoken
bespread	bespread	bespread
bestrew	bestrewed	bestrewn
bestride	bestrode/bestrid	bestridden
bet	bet/betted	bet/betted
betake	betook	betaken
beware	beware	beware
beweep	bewept	bewept
bid	bade/bid/bidded	bidden/bid/bidded
bide	bided/bode	bided/bidden
bind	bound	bound
bite	bit	bitten
bleed	bled	bled
bless	blessed/*blest	blessed/*blest
blow	blew	blown
break	broke	broken
breastfeed	breastfed	breastfed
breed	bred	bred
bring	brought	brought
broadcast	broadcast	broadcast
browbeat	browbeat	browbeaten
build	built	built
burn	burned/burnt	burnt/burned
burst	burst/bursted	burst/bursted
buy	bought	bought/*boughten
can	could	can
cast	cast	cast
catch	caught	caught
chide	chid	chid/chidden
choose	chose	chosen
clad	clad/cladded	clad/cladded
clearcut	clearcut	clearcut
clear cut	clear cut	clear cut
cleave	clove/cleft	cloven/cleft
clepe	cleped/*clept	cleped/*clept
cling	clung	clung
clothe	clothed/clad	clothed/clad
come	came	come
cost	cost	cost
cowrite	cowrote	cowritten
creep	crept/creeped	crept/creeped
crosscut	crosscut	crosscut
crow	crowed/*crew	crowed/*crown
cut	cut	cut
dare	dared	dared
deal	dealt	dealt
dig	dug/*digged	dug/*digged
dive	dived/dove	dived
do	did	done
downcast	downcast	downcast
drag	dragged/drug	dragged/drug
draw	drew	drawn
dream	dreamed/dreamt	dreamed/dreamt
dress	dressed/*drest	dressed/*drest
drink	drank	drunk/drank
drive	drove	driven
dwell	dwelt/dwelled	dwelt/dwelled
eat	ate	eaten
fall	fell	fallen
feed	fed	fed
feel	felt	felt
fight	fought	fought
find	found	found
fit	fit/fitted	fit/fitted
flee	fled	fled
fling	flung	flung
fly	flew	flown
forbear	forbore	forborne
forbid	forbade/forbid	forbidden
force-feed	force-fed	force-fed
forcut	forcut	forcut
fordo	fordid	fordone
forecast	forecast	forecast
forego	forewent	foregone
foreknow	foreknew	foreknown
forelay	forelaid	forelaid
forelie	forelay	forelain
foreread	foreread	foreread
forerun	foreran	forerun
foresee	foresaw	foreseen
foreshow	foreshowed	foreshown
forespeak	forespoke	forespoken
foretell	foretold	foretold
forget	forgot	forgotten
forgive	forgave	forgiven
forgo	forwent	forgone
forlay	forlaid	forlaid
forleave	forleft	forleft/*forlaft
forlend	forlent	forlent
forlese	forlore	forlorn
forlet	forlet	forlet
forlie	forlay	forlain
forsake	forsook	forsaken
forsay	forsaid	forsaid
forshape	forshaped	forshapen/*forshaped
forspeak	forspoke	forspoken
forspend	forspent	forspent
forstand	forstood	forstood
forswear	forswore	forsworn
forthlead	forthled	forthled
forthleap	forthleaped/forthleapt	forthleaped/forthleapt
forwear	forwore	forworn
freeze	froze	frozen
gainsay	gainsaid	gainsaid
get	got/*gat	gotten/got
ghostwrite	ghostwrote	ghostwritten
gild	gilded/gilt	gilded/gilt
gird	girded/*girt	girded/*girt
give	gave	given
go	went	gone
grave	grove/*graved	graven/*graved
green-light	green-lit/green-lighted	green-lit/green-lighted
grind	ground/grinded	ground/grinded
grow	grew	grown
hamstring	hamstrung	hamstrung
hand-feed	hand-fed	hand-fed
handset	handset	handset
handsew	handsewed	handsewed/handsewn
handspring	handsprang	handsprung
hang	hung/hanged	hung/hanged
has	had	had
have	had	had
hear	heard	heard
heave	heaved/hove	heaved/hove/hoven
hew	hewed/hew	hewn/hewed
hide	hid	hidden
hit	hit	hit
hoist	hoisted/hoist	hoisted/hoist
hold	held	held
housesit	housesat	housesat
house-sit	house-sat	house-sat
hurt	hurt	hurt
inbreed	inbred	inbred
inhold	inheld	inheld
inlay	inlaid	inlaid
inlead	inled	inled
input	input	input
inset	inset	inset
intake	intook	intaken
interbreed	interbred	interbred
intercut	intercut	intercut
interlay	interlaid	interlaid
interweave	interwove/interweaved	interwoven/interweaved
is	was	been
keep	kept	kept
ken	kenned/kent	kenned/kent
kneel	knelt/kneeled	knelt/kneeled
knit	knit/knitted	knit/knitted
know	knew	known
lade	laded	laden/laded
laugh	laughed/*laught	laughed/*laught
lay	laid	laid
lead	led	led
lean	leaned/leant	leaned/leant
leap	leaped/leapt	leaped/leapt
learn	learned/learnt	learned/learnt
leave	left	left
lend	lent	lent
let	let	let
lie	lay	lain
light	lit/lighted	lit/lighted
lipread	lipread	lipread
lose	lost	lost
make	made	made
may	might	may
mean	meant	meant
meet	met	met
melt	melted/*molt	melted/molten
misbear	misbore	misborne
misbecome	misbecame	misbecome
misbefall	misbefell	misbefallen
misbeget	misbegot	misbegotten/misbegot
miscast	miscast	miscast
mischoose	mischose	mischosen
misdeal	misdealt	misdealt
misdo	misdid	misdone
misfall	misfell	misfallen
misfeed	misfed	misfed
misfit	misfit/misfitted	misfit/misfitted
misget	misgot	misgotten
misgive	misgave	misgiven
mishear	misheard	misheard
mishit	mishit	mishit
mishold	misheld	misheld
miskeep	miskept	miskept
misken	miskenned/miskent	miskenned/miskent
misknow	misknew	misknown
mislay	mislaid	mislaid
mislead	misled	misled
mislearn	mislearned/mislearnt	mislearned/mislearnt
misread	misread	misread
missay	missaid	missaid
missee	missaw	misseen
missend	missent	missent
misset	misset	misset
misshape	misshaped	misshapen/misshaped
misshoot	misshot	misshot
misspeak	misspoke	misspoken
misspell	misspelled/misspelt	misspelled/misspelt
misspend	misspent	misspent
mistake	mistook	mistaken
misthrow	misthrew	misthrown
misunderstand	misunderstood	misunderstood
miswrite	miswrote	miswritten
mix	mixed/*mixt	mixed/*mixt
mow	mowed	mowed/mown
must	must	must
naysay	naysaid	naysaid
need	needed	needed
offlead	offled	offled
offset	offset	offset
